reviewId,content,score
c2335f01-6f73-45ad-b63c-8e9f0893d206,Levels you can't pass without buying extra lives for days.,2
0e90adc9-3600-45a5-b8a8-6e7b78b09123,Swipe the stress away but your stress gets higher,1
7f796c6a-5557-4bbd-b4f0-1233295ceda7,I love it.,5
b9bfd8fe-a903-45fb-9a64-d1cc81d30f57,Bhai mobile network se connection error bta rha h,5
55a3cef0-0dab-4da4-874a-95333767f3f0,awesome game,5
870a5cb0-790b-4384-9b8f-ed6750905507,Awesome 😎,5
ce87fe99-55f9-4565-a504-27e051467c7b,Very nice game,5
e19f0123-1a30-4270-98c7-fd2c5f31220f,Like this,5
a49349c9-9a2f-484d-8c7a-5d4bf979aebd,"Fun, fun. Better than most match-making games. Daggum great eatin'! Put your left foot in. Take your left foot out. Put your left foot in and shake it all about. Need free stuff. Still. And on. And on. Still. And on. :) ;0 Too much fun. :)",4
086fb4d0-cf46-410e-93d1-089da639ba31,Good game very entertaining. Very fun to play,5
1722ae68-1c26-4ff4-b5e4-f04f8fcbd792,Nice,4
bce2f859-0d1d-491f-b1fb-114415182b98,Can't beat the original candy crush,5
2119b77a-8aaa-41b2-95f0-510e87b8e1e4,Awesome,5
918ace44-6125-4375-b8a1-1fae67adf723,So much fun,5
1d3a8a18-c310-41a8-971a-964644848e6f,I love this game it is very addictive!!!,5
49db744c-5e73-4a25-b79d-e38f1ce96839,Awesome,5
2f3dfdfc-5c1d-434f-a311-978a2138d780,I love it,5
b1732544-dabc-4eb9-9f11-23f3e29b011b,Good,4
616c4f6c-c89b-4d1f-b021-39f59028aa66,Funfun!,5
b964785f-8907-4073-824d-7fc48253a209,good,5
cebd1234-c318-4e80-ba35-85015377d80c,Great Game,5
1679145d-6dba-4086-9221-aabcdf64d448,Great Game To Play,5
208c5d32-53e9-4b99-bab1-cb295952e8fb,I love it,5
be77ccc5-fe77-4a1d-b931-3398e7d83646,This game gave very relax and playing very enjoying,4
16da809a-895d-49f5-b08f-dfdce0073d4e,Really nice,5
a8d84b34-43ee-45fa-9b91-9a9b8f784ac3,This is awesome,5
ac64ca4f-dba6-407d-bbc6-0116c4442da1,"Wish had more side games, events to earn extras and golf like the soda crush does",4
4637e15a-6190-486c-a693-1ab77d8a5388,have a great time bass,4
7ee916c7-1b6b-4a1a-861b-faf0564c0aa6,"Love this game, it's challenging and fun to play.",5
f55780f6-aa1b-45cd-8b54-7cfcf7b0b7eb,Nice,5
fdbf81de-c7fd-4f0b-b79d-b639194d0261,Nice game,4
3aea9d7b-54e2-4a74-8e41-44a25dcb3b76,Such a nice game ever,4
9dbba18e-980e-4350-97ac-845555005988,super,5
233c8629-b5fd-4bfd-b6e7-862628451900,"Last night, I made a purchase. Once I use 10 coins to try again, the gamed glitched. I had to replay the level anyway.",5
f5bf003b-fb67-49a0-aa52-09fadf51f2b4,Good Game,5
f24714e3-e510-4a0d-8680-3ec1ae41ac3c,Good,1
5c67640b-9e9a-4d77-92ee-5ac2477596d8,I like the game i have been using it for more than 5 years now,5
207ccdba-8d31-42ba-96c2-9c4bf125f8f2,Enjoy playing every day.. get up playing,5
68a11949-05c3-406c-93c5-57c8fda0716f,thumbs up,5
baf8f247-ec1e-481c-a270-91b8dc4f5683,"It's fun and frustrating all at the same time. It does keep my mind busy when I'm bored and or frustrated. I highly recommend this game. It's keeping my mind sharp in my old age. I won't lie, this is a lil addictive.... That's fair warning. But it's very, challenging and frustrating all at the same time. This game is crazy for real...",5
a47ac299-e0e2-4c60-8c8f-dd4607c04902,I would like to acumulate more lives than just 5.,5
048ac2ad-24ba-4053-91b6-1e49f0597ea6,Worthwhile,5
e06c7cc7-a704-4a62-822a-d07772e39955,Great!!!!$,5
6e92456c-b4bb-4e7a-b989-5010ea5c8a86,"Just purchased a small package for difficult level, won the game and started me over again, someone needs to contact me ASAP! Or post lives,boosters,etc; 3/7/2025 WHY DOES THE GAME STARTS OVER WHILE YOU ARE IN THE END OF GAME MADE A PURCHASE AND STARTS ME OVER ,WHEN I'M PURCHASING BOOSTERS TO WIN THE GAME ROUND???? I NEED HELP!!!! ASAP!!!!!!!!!!!!!",1
75b3a7d5-c68f-42e0-b4cc-c448039f3a87,Exciting game ❤️,5
152ccfe4-273a-47f2-8159-627d7cbb8c7c,Great fun,5
1ec733cb-c353-4b51-af11-9cf4fdde42da,❤️😍,5
f5ba780d-abd8-4439-964b-25762564e157,Awesome!,5
acd3d878-ea50-49f8-83ef-1215ce7f0ff1,Addicting best game ever besides spyro hogwarts legacy resident evil 4 ps5 planet coaster 1 and 2 non of these people can't beat me,5
8bada9a4-77a9-4fd7-a6cc-3e52e735e1c4,When I finish the race 1st game was stuck many times,2
33f2a8a2-c0ac-4bda-9385-a9514b82488c,Nice Game app,5
