processed_text,score,sentiment
levels cant pass without buying extra lives days,2,neutral
swipe stress away stress gets higher,1,insatisfecho
bhai mobile network connection error bta rha h,5,negativo
fun fun better matchmaking games daggum great eatin put left foot take left foot put left foot shake need free stuff still still 0 much fun,4,contento
good game entertaining fun play,5,contento
cant beat original candy crush,5,negativo
game gave relax playing enjoying,4,contento
wish side games events earn extras golf like soda crush,4,contento
love game challenging fun play,5,contento
last night made purchase use 10 coins try gamed glitched replay level anyway,5,neutral
like game using 5 years,5,positivo
enjoy playing every day get playing,5,contento
fun frustrating time keep mind busy im bored frustrated highly recommend game keeping mind sharp old age wont lie lil addictive thats fair warning challenging frustrating time game crazy real,5,insatisfecho
would like acumulate lives 5,5,positivo
purchased small package difficult level game started someone needs contact asap post livesboostersetc 372025 game starts end game made purchase starts im purchasing boosters win game round need help asap,1,contento
addicting best game ever besides spyro hogwarts legacy resident evil 4 ps5 planet coaster 1 2 non people cant beat,5,negativo
finish race 1st game stuck many times,2,negativo
years still improved glitchy uninstall reinstall cant find boosters cant save game google play moves lesser please try improve game,1,contento
long time player quit dont pay get untimely glitches progress halted ba bye,1,positivo
going stop playing game also complaint company indian authority take strict action bcz company scam totally possible time game wifi show different weekend offer friend type bad business practice fooling people like,1,insatisfecho
love frustrating timesbut enjoyable,5,contento
good game really loved dont wifi dont worry canday crush provide wifi game relax crush candy,5,contento
candy crush gd game truly relieves stress anytime anywhere,5,positivo
gets point cant win,5,negativo
game amazing time pass game owner thanks game lonch,5,contento
game kicked glitches reopen,2,neutral
encourage everyone download never get bored,4,contento
aaj kal bahut lambe ad dikha rahe ho kya hai tuchche gamen ai batao,4,neutral
good one time killing,4,negativo
love game great passing time,5,contento
theyve added way many things game one move whole screen starts exploding 5 minutes,2,neutral
besr game better minecraft,5,positivo
full fun game 10shn free game fighting finding fun,5,contento
nyc game great fun,5,contento
takes away stress great game,5,positivo
game make time go tbh,4,neutral
uninstall new updates new updates looks good seems slow game phone actually play anymore,3,contento
great game fabulous super special day,5,contento
love everything candy crush games,5,contento
nice time pas apps,5,positivo
ms dhoni play game download love dhoni sir,5,contento
nice game mother makes learn enjoy lot,5,contento
keeps calm stress free,5,positivo
changes making annoying swedish fish useless cookies going randomly making game less fun squeeze money,2,negativo
7780 level hv playing game since long purchase people mean stopped giving advertising rewards thy want purchase everytime wrong,1,positivo
slow working 9k levels,3,neutral
nice game wonderful game love candy crush saga,5,contento
gotten horrible officially pay play 13 years playing enjoyable experience anymore,1,positivo
good game strengthen mind awesome,5,contento
bahut hi badhiya hai ye gem good,5,positivo
levels super hard get past fish helpful job properly game time uninstall game,1,contento
thats great sometimes level took time last everything fantastic,4,contento
nice game addictive played long,5,contento
support staff help everything suggested game still read connection reinstall 2nd time installed game first time similar experience create game know fix recommend waste time money,1,contento
terrible cant download game keeps telling theres error,1,insatisfecho
suprb game always play,5,positivo
super excited playing game experience amazing cant stop playing,5,contento
good game make time better enjoy able thanku,5,contento
lovely game relaxing fun,5,contento
good fun excersices brain,5,contento
game wonderful entertaining passed 600above levels gold bars jackpot rewards shared others dont want share rewards pls look tat thank u,5,contento
want make dolar playing candy crush saga,5,positivo
nice game 10000 stages forgot account password cant access app friend tell recover,5,neutral
love game super fun exciting,5,contento
anyone even read action playing game 10years totally love recently become annoying firstly hard levels hardhard super hard night marishly hard love god game doesnt end sight take hard levels better still give us option moves currently level 5298 15 moves crack level king please fix issue,1,contento
favourite gamelove challenge levelsnow gotta buy second fone game,5,positivo
game good enjoying playing game,5,contento
life time much many adds download,1,neutral
uninstalled game cheats get money,1,negativo
best game ever interesting levels,5,contento
great addictive game never get items win spin wheel pay lives dont get,3,positivo
bohat acha game hai unke liye jinke pas kam dhandha nahi hai,5,neutral
great game little ads,5,contento
good game honestly helps sleep,5,contento
faulty game glitch chocolate box able remove,1,negativo
great stress relief working ot nursing home,5,contento
game fun literally forces spend actual money beat certain levels fiance sick level 5 days ridiculous sad fowl guys havent even given ability watch ads help beat level want money stuck longer ill uninstall go play something elsewhere,1,insatisfecho
always get addicted game,5,neutral
levels near impossible win dont extras put money,3,contento
good morelooks like knowingly reduced minimum required number moveit become irritating,1,positivo
great fun never stop playingnice graphic easy playgreat gameenjoyed game muchl love graphic less adscompared others really love gamedefinitely great fun gameawesome gamenever stop playingsuper cool game playdefinitely fun game,5,contento
