stars,review_body,language,processed_text,sentiment
1,"NO ME HA LLEGADO ESTOS PENDIENTES, QUIERO PONER RECLAMACION!!!!! DONDE ESTAN MIS PENDIENTES Q ME TENIA Q HABER LLEGADO EL 16",es,no llegado pendientes quiero reclamacion pendientes q tenia q llegado,enojado
1,Me deja la espalda destrozada. No la puedo usar más de 10 minutos seguidos porque me deja un dolor de lumbares increíble. Ojalá pudiera devolverla!,es,deja espalda destrozada no minutos seguidos deja dolor lumbares increíble ojalá pudiera devolverla,enojado
1,"Despues de un mes de la devolucion aun no se nada , ni reloj ni dinero",es,mes devolucion no reloj dinero,enojado
1,"No se ajusta bien, es más pequeño que el móvil. Compré dos y uno de ellos no pega bien. No repetiría esta compra.",es,no ajusta pequeño móvil compré no pega no repetiría compra,enojado
1,NO FUNCIONA CON PRODUCTOS APPLE ES UNA ESTAFA,es,no funciona productos apple estafa,enojado
1,"Lo compre para utilizarla con una smart TV de Samsung para facilitar la entrada de texto en youtube, netflix... Al probarlo vi que solo funcionaba como mando normal, pero que las letras no funcionaban en youtube. Como mando normal es bastante flojo. Al final lo devolví dentro del plazo.",es,compre utilizarla smart tv samsung facilitar entrada texto youtube netflix probarlo vi funcionaba mando normal letras no funcionaban youtube mando normal flojo devolví plazo,insatisfecho
1,"No sirve para nada. Los archivos no los copia bien y luego no se puede ver nada. Tirar el dinero, no lo recomiendo.",es,no sirve archivos no copia no tirar dinero no recomiendo,enojado
1,no encuentro la forma de instalar.,es,no encuentro forma instalar,enojado
1,Después de mucho trabajo la montamos pasado esto todas las opiniones son buenas,es,trabajo montamos opiniones,contento
1,Devuelto. Llevo esperando a que vengan a recoger unas tres semanas. No sé si es un caso particular pero desde luego no está funcionando bien.,es,devuelto llevo esperando vengan recoger semanas no sé caso particular no funcionando,enojado
1,Fatal...será que no leí bien o no se que pasó que creo que era el metacrilato que se usa ahora y sólo es el plástico ese que se usaba antes vamos que si se te cae el móvil al suelo te jodes.,es,fatal no leí no pasó metacrilato plástico usaba cae móvil suelo jodes,enojado
1,"La caja del móvil venía con 2 precintos, el de arriba estaba intacto pero debajo había otro que estaba roto.",es,caja móvil venía precintos intacto roto,insatisfecho
1,"Los vales, son lo que son, un acierto de idea. Lo que no me parece nada bien es la manera de mandarlo, ya habia leido algun comentario, pero lo mio ha sido espectacular. Estaba con una pegatina del precio en Libras, ademas del lomo desgastado, como si hubiera sido usado.",es,vales acierto idea no mandarlo leido algun comentario espectacular pegatina precio libras lomo desgastado hubiera usado,contento
1,"Todavía no lo he recibido, no puedo opinar todavía",es,no recibido no opinar,enojado
1,"No puedo valorarlo porque todavía no ha llegado. En principio llegaba en una fecha, pero luego me dieron otra y todavía no me ha llegado. La verdad es que me parece mucho tiempo de espera.",es,no valorarlo no llegado principio llegaba fecha no llegado tiempo espera,insatisfecho
1,"No está mal, pero el chaleco huele muy mal",es,no chaleco huele muy,neutral
1,"No agarra, se suelta el movil, y puede causar un accidente en la moto......la garra no tiene fuerza y con los baches se afloja",es,no agarra suelta movil causar accidente moto garra no fuerza baches afloja,enojado
1,"Me compré la anycubic prusa i3 y las piezas no venían en buen estado. Además con las complicaciones de piezas defectuosas, la monté. La encendí y no funcionaba. Pensé que tenía que instalar el firmware pero en las instrucciones ponía que el firmware estaba instalado de fábrica. Intenté llamar a Anycubic pero no responden",es,compré anycubic prusa piezas no venían complicaciones piezas defectuosas monté encendí no funcionaba pensé instalar firmware instrucciones ponía firmware instalado fábrica intenté llamar anycubic no responden,enojado
1,Hola buena sólo quería deciros q aparte de que el paquete ha llegado con retraso ha llegado abollado no se como se va a poder arreglar eTo la caja estaba en malísima condiciones no creo que vaya a devolverla x lo q ha tardado pero ya si me podríais hacer un regalo de algo para la pajarera en la foto no se aprecia como se ve en persona la verdad esta bastante abollado un lado del techo,es,hola quería deciros q aparte paquete llegado retraso llegado abollado no arreglar eto caja malísima condiciones no devolverla x q tardado podríais regalo pajarera foto no aprecia ve persona abollado techo,insatisfecho
1,"Compré 2 juegos según la descripción que los paquetes eran de 60 unidades, recibí 2 cajas de 12 unidades, reclamado a Amazon, todavía estoy esperando solución, ya lo doy por perdido. Mal proveedor",es,compré juegos descripción paquetes unidades recibí cajas unidades reclamado amazon esperando solución doy perdido proveedor,enojado
1,"Lo he conectado compatibilidad con un AULA, según dice las instrucciones: 10, 3, 4, 7, 12. y el altavoz/microfono va al revés. descolgado cierra canal y colgado abre canal.... he probado varias combinaciones y no hay forma que funciona. ¿A alguien mas le ha pasado?",es,conectado compatibilidad aula instrucciones altavoz microfono revés descolgado cierra canal colgado abre canal probado combinaciones no forma funciona alguien,enojado
1,De pena. En lugar del cartucho negro del zorro me llego el amarillo del oso.... Una faena porque lo necesitabamos y alfinal tuvimos qur ir a un centro de impresion para poder imprimir los documentos... Lo mejor es que para hacer la devolucion hay que imprimir la etiqueta.....,es,pena lugar cartucho negro zorro llego amarillo oso faena necesitabamos alfinal tuvimos qur centro impresion imprimir documentos mejor devolucion imprimir etiqueta,enojado
1,"Me llegó bien y todo eso pero al abrir la cajita para ponerle el cristal, vi que estaban las toallitas limpiadoras y las pegatinas pero el cristal no.",es,abrir cajita ponerle cristal vi toallitas limpiadoras pegatinas cristal no,neutral
1,"Los bordes quedan al aire, no cubre la pantalla completa y queda una raya horizontal en mitad de la pantalla...",es,bordes quedan aire no cubre pantalla completa queda raya horizontal mitad pantalla,enojado
1,"El Pendrive indica 117 gb, pero no almacena más de 45 y además no permite su formateo en NTFS. Amazon debería tener más cuidado con estos productos",es,pendrive indica gb no almacena no permite formateo ntfs amazon debería cuidado productos,insatisfecho
1,No hemos recibido el envio después de mes y medio. Segun ellos lo han enviado pero no hay justificante de entrega alguno.,es,no recibido envio mes enviado no justificante entrega,enojado
1,No lo he recibido. Se ha quedado por el camino.,es,no recibido quedado camino,enojado
1,Se mueve no encaja bien,es,mueve no encaja,insatisfecho
1,"Pedí un modelo y me enviaron otro, descontento",es,pedí modelo enviaron descontento,enojado
1,Entrega un mes tarde. No apto para regalos. A no ser que de quiera celebrar cosas fuera de fecha. Decepcionado.,es,entrega mes no apto regalos no quiera celebrar cosas fecha decepcionado,enojado
1,Las letras tienen poca tinta y no se puede leer muy bien,es,letras tinta no leer muy,insatisfecho
1,Debería devolverlo. Ha dejado hasta de funcionar en el primer uso.,es,debería devolverlo dejado funcionar,enojado
1,"A los dos meses ya no funcionaba,lo envié a arreglar y me dijeron que estaba fundida la resistencia..la habia usada unas 15-20 veces. Para tirarla segun me dijeron,devolvi una anterior a los 15 dias y compré esta igual,pense que no tendria porqué repetirse.",es,meses no funcionaba envié arreglar fundida resistencia usada tirarla devolvi compré pense no tendria porqué repetirse,enojado
1,"Han enviado un modelo con unA placa que no corresponde y el servicio técnico fatal, solo contestaron los dos primeros correos, cuando les dije que no funcionaba dejaron de responder.",es,enviado modelo placa no corresponde servicio técnico fatal contestaron correos dije no funcionaba dejaron responder,enojado
1,"Se forman unas horribles burbujas de aire en el centro de la pantalla, que no se van de ninguna manera. He seguido cuidadosamente las instrucciones y además había instalado varias veces protectores de pantalla similares de otras marcas (incluso en el mismo móvil) y nunca había tenido este problema.",es,forman horribles burbujas aire centro pantalla no seguido cuidadosamente instrucciones instalado protectores pantalla similares marcas móvil nunca problema,enojado
1,No he llegado ni a abrirlo. La base está rota y el árbol no se sostiene por si mismo. Muy inestable y no apto para tener niños cerca. No se parece en nada al de la foto. Devuelto en menos de 5 min después de abrirlo.,es,no llegado abrirlo base rota árbol no sostiene muy inestable no apto niños cerca no foto devuelto min abrirlo,enojado
1,"Todavía no me llegó el pedido desde principio de septiembre el cuatro de octubre ize una reclamación y en teoría me lo volvieron a enviar, a dia de hoy no se nada.",es,no pedido principio septiembre octubre ize reclamación teoría volvieron enviar no,enojado
1,El producto no ha llegado en condiciones ya que los sobres estaban abiertos por los laterales y el producto estaba en el sobre de envío. Producto defectuoso,es,producto no llegado condiciones sobres abiertos laterales producto envío producto defectuoso,enojado
1,Falla la conexion con el PC y en ocasiones aparece un mensaje de que no se reconoce adecuadamente el USB,es,falla conexion pc ocasiones aparece mensaje no reconoce adecuadamente usb,enojado
1,"Se ha roto a la semana de tenerlo. Además el teclado tiene muy poca sensibilidad, sobre todo por la periferia.",es,roto semana tenerlo teclado muy sensibilidad periferia,enojado
1,"El disfraz me llegó ayer sábado 15 de diciembre,la ropa está en perfecto estado y es de su talla pero la careta viene totalmente rota 😨, la envoltura en la que viene el paquete es un simple plástico, hasta hoy no lo hemos podido abrir y lamentablemente hemos encontrado este desastre, os rogaría solucionarlo lo antes posible por favor, no encuentro en mi ciudad su talla de disfraz, por favor dígame los trámites a seguir para la devolución y el reemplazo por otro en buen estado. Espero que llegue para antes de Reyes, por favor. gracias, gracias, gracias",es,disfraz ayer sábado diciembre ropa perfecto talla careta viene totalmente rota envoltura viene paquete simple plástico no podido abrir lamentablemente encontrado desastre rogaría solucionarlo favor no encuentro ciudad talla disfraz favor dígame trámites seguir devolución reemplazo espero llegue reyes favor gracias gracias gracias,enojado
