rating,processed_text,sentiment
1,bad talented illustrations context degrade situations,negativo
2,tape measure level work good extend full 25 feet no issue tape retractinghowever batteries instal severely corrode leak battery compartment clean outi not replace batteries yet try laser extra expense not need new item claim include batteriesthe magnet break bottom defeat purpose magnet hold device placeit tripod mount bottom could use really want get tripodthree ag13 lr44 type batteries need,negativo
1,place large order seller include plant ship fast pack good 4 plant 3 die due mealy bug plant die last despite local greenhouses best efforts save order forhindu indian rope plant hoya 6 hang basket dead mealy bugshindu indian rope plant hoya exotic yet easy dead mealy bugsx2 strawberries cream wax plant hoya great house plant 4 pot1 plant dead mealy bug lead sooty mold one die first1 plant save cost additional 2200 4 weeks save 's one stem plant three inch tall not attractive houseplantthe seller ca n't blame move no houseplants also no experience mealy bug til thank anywaybuyer beware save plant buy else,insatisfecho
1,no idea thing work n't help no specifications print would work europe someplace 220v would even matter leave plug something like 3 days days even n't remember charge light ever go alkaline batteries get charge say,neutral
1,product arrive canister full someone else 's dirt no attachments include handle break vacuum filthy wash outside would even consider bring house cord fray afraid even plug pile junk return,negativo
3,concept teach book methods use evaluate company goodit 's extra tool use evaluate company sensible tool reason give book 3 star lot figure examples wrong refer financial statements wriggley begin book transpose wrong amount examples,insatisfecho
1,book weak every aspect character shallow prose terrible story line predictable want read ahead put much faster main character fact figure none mystery terrifically wonderful confirm reveal however read astonish something bad would publish honestly write style simplistic best must read visit library,insatisfecho
1,never ever receive seller n't acknowledge request send tell prove not get sign give mail address send someone could sign clearly theft deception,negativo
1,dvd 's fan wait release 8 movies extend versions unfortunately set not 'll keep wait set big disappointment,negativo
4,product work describe problem arise motion adjacent tree bush wind blow,negativo
1,register pump work great 2 weeks suction stop call customer service send new one right away things begin fail milk back valves bang unit sink get milk fall bottle n't milk back unit leak ac adapter connect potentially cause seious problems please not buy pump,insatisfecho
3,bb king eric clapton among worlds finest blue men right think problem album technically 's top notch somehow two n't quite meet middle 's disconnect somewhere 's slick blue without nerve intensity vital blue sprout wing take three star technical merit miss two lack conviction album n't get skin sorry guy,negativo
4,368b job sturdy complaint legs little troublesome collapse expand,insatisfecho
1,95 pop receive crush upon delivery others crack huge disappointment,negativo
1,insert peg screw loose 4 8 come completely useless fix,insatisfecho
1,beware description photograph hereit fail show bible point reference exercise return,insatisfecho
1,hat book could n't figure keep read realize 's one book stare hours never fall asleep no drama no high low events 's flati finally read review realize right real world police would pull white girl black house kick scream find white family stay withdid misread main road end leave highway 'd think town could supply many bananas would least main street pave,negativo
3,lawrence block 's burglar series bite formulaic scenes virtual repeat time character simply riot plot probably not best part booksthe character dialog look hard boil serious mystery read block 's scudder series agatha christie fun book would prefer give 35 star great quote collection swear jump n't allow 'd never get conclusion page 180 not imho best burglarrhodenbarr book try burglar trade ted williams new burglar prowl instance still 'd recommend read light entertainment similar block 's tanner series must admit like scudder ones better,negativo
1,coulda swear watch general hospital shock see wwe 's armageddon ppv look title 'm sorry one good match whole card card throw together no stories tim white commit suicide completely dtupid idiotic taker orton good match hell cell probably one worst cell match history shock see people actually enjoy ppv guess wrestle fan theese days like storylines not match 's suggestion like storylines wrestle watch soap end story,enojado
2,less year use ca n't find receipt 'm go chuck,neutral
1,would send back forget wait long loos cheap fake hate,enojado
1,beginner student little no knowledge fiber optics intend understand not buy book book brief theories lack application,negativo
1,suck n't buy not much say better buy anything else anything terrible,enojado
1,blasphemy make brown sugar butter top not disgust top mix contain partially hydrogenate soybean oil cottonseed oil corn starch top absolutly disgust not mention make small cake never ever ever buy another betty crocker pineapple upsidedown cake mix would give negative star ca n't incompetent people ca n't cook taste anything probably right ally,negativo
1,order item amazoncom description state model 06067p brass bristle model amazon send 06067ssp stainless steal bristle call let know mixup 'll see get correct one,negativo
3,dvd different vhs director 's edition 's many years,neutral
2,product would need stable follow directions product still extremely shaky unstable,negativo
3,hop quality anime would step two previous series movie alas no however visuals aside particular story action word go 's not lot time funny business 's ryo friends basically stumble international incident japan beg question 'how sooo convenient ' since much action short amount time leave feel somewhat cheat story however probably feel way anime conduct still 's not strong story make special anime,insatisfecho
1,try trick undercover sectionbut hard thati try try ca n't even pass testthis game not goodthe graphic look horribleyack,negativo
1,book suppose show conern utopian society apprenly not involve animals no science reasearchers able come new mature speedsthe story horrible since nothing excite ever happen author not let reader wonder whats go happen next situation becuase end book beggning book not relate closely read beggning book nothing ever progressedto prove point book onl read belivers utopian society people fear beleive one word no one read book becuase not beleiveable,insatisfecho
1,bummer find look subtitle also not experience fervent passion zeal movie supposedly causingi think hype bite much producti 'd advise not treat meal watch movie need remember caligula mad eat watch gore time movie pure ancient roman gore ca n't far cry caligula enjoy watch sit personal home eat munchinga decent parent would never allow child see movie stuff caligula watch child know turn 's unnerve think many boot sit movie theaters many sit livingroom mummsy dahdah mean 're talk graphic angle torture devices skin never see etc,enojado
1,contain every demean ignorant cliche vietnam war us fight read thing please buy steal valor tet read balancemr king 're cordially invite come stay us guest cambodia see result abandonment people sourtheast asia due antiwar protest find neat coolyou ashamed write,enojado
