processed_text,score,sentiment
satisfied with overall experience i do hope admin able to add in speed 175 or 2 thanks,3,contento
best moviesbest experience and userfriendly,5,contento
bast of the bast,5,neutral
cant download,1,neutral
netflix ceo have you seen your new smart tv interface fire the entire development team it ha reduced visibility of your title and literally impossible to have an overview or a workable browsing experience i dont know if you have outsourced the interface experience to some underfunded poor innovation short,1,positivo
netflix is trash their standard subscription isnt worth the cost their premium is really not worth the cost and their cheap with ad option also cap your resolution at dogshit quality i only got this subscription because a gift card wa gifted to me and i still feel cheated this,1,negativo
it say there is a problem playing the video please try again 58,1,positivo
what the i hope all of you need to fix this because this wa horrible,1,negativo
shittiest app in town it ha not worked in my phone in 6 month and their service centre is a bigger failure than the sdes theychave hired i strongly feel that all the sdes at netflix should resign and my try something easier and more suited to their caliber like,1,negativo
before what happen everything wa okay n suddenly it log out my account automatically and i cant log in back it say something wa went wrong no it been a week i cant use my netflix since i pay for it i want to know the reasonthanks,5,insatisfecho
havent even gotten it to open yet,3,neutral
amazing,5,contento
very useful,5,positivo
better call saul,5,positivo
fantastic,5,contento
i love itthe best movie,5,contento
with pixel 7 android 15 back light keep on dim and bright again dim and bright again if i watch in dark place and brightnessfrom apps i set to maximum i dont know where too address this cause on other apps i didnt have issue like this,2,contento
very good but some season are not showing in dubai why,5,positivo
cant open it because it requires a damn update every 48hrs,1,negativo
recently on mobile the video keep dimming then brightening constantly no matter what setting i change with super annoying,2,contento
cool,5,positivo
work great on phone good quality and no lagging,5,contento
great,5,contento
i havent looked at the review yet but if anyone ever put a onestar review on netflix they are kookoo crazy lol,5,positivo
when i downloaded the app and tried to sign in it say somethings wrong please try again later when i tried again 15 time it still say that ima still give netflix a 45 and netflix please fix this,4,positivo
can not delete,1,neutral
it wont let me download a show to watch,1,neutral
i love it so much,5,contento
used to be great but you guy keep pulling all of the actually good show off to cut cost not that i believe that with so many of the show having the same theme i mean seriously whats the point of airing an unfinished show that you cancelled before it,2,positivo
best show and movie,5,contento
increase and decrease of the brightness by itself hot chocolate is very much frustrating the brightness tends to increase and sometimes decrease by itself while watching a video this is quite frustrating please fix this im using google pixel 6 plan,2,contento
good,5,positivo
it good but doo beter nexsrtb time ok sorry,3,contento
wow brilliant,5,contento
this app is doing just great and is working properly,4,contento
this last update i cant watch anything at all the loading screen just sits forever please fix samsung a14 5g,1,positivo
are the movie free,5,contento
am having isues with my netflix always experienced black screen with sound what will i do please,3,positivo
nice,5,positivo
stop being so greedy get a life,1,insatisfecho
super,5,contento
good app,5,positivo
the new update is pathetic,1,insatisfecho
it nice and very expensive,5,positivo
it wont let me sign back in also say my number is invalid,1,positivo
cant connect to netflix try again later for a whole week now every other app still work i cant even logg on to cancel membership,1,negativo
they have a bunch of overseas movie that you cant understand netflix wa good now it just play garbage,1,contento
no longer allows for show and movie to play on mobile app with every update only fix is to uninstall and reinstall,1,positivo
glitching outrageously wont let me see my home page get all the family profile confused,1,insatisfecho
doesnt offer decent value or movie,2,negativo
paying for a service shouldnt be more effort to use than alternative used to like it and even with the content being limited it wa worth it for my household but blocking me on my home wifi and requiring me the main member to ket a temporary access token is,1,negativo
release dragon ball daima english dub,1,neutral
payment method system is very poor dont have many option to chose from,1,insatisfecho
great aap,5,contento
get rid of the brightness setting phone already have those so youre just making the app more annoying to use,1,negativo
cant able to play 720p no response and wrong information given by them netflix suck,1,enojado
paying the money is really not worth the benefit and the fact that i can not share with my family is the ultimate let down,1,insatisfecho
my downloads say expired when i dont stwitch on data,3,neutral
netflix is such a scam now,1,insatisfecho
the amount of content get smaller but since moving to europe cant watch some title at all,2,neutral
nice app for movie and other thing,5,positivo
error 571 done everything and a lot more they probably changed the popm of the app and is doing every bad move from the playbook,1,insatisfecho
he best app on world,5,contento
joke of a streaming service wont allow me to use it after 9 year and when they escalate the issue internally they tell me to wait no turn around time no compensation no resolution joke of a company,1,negativo
everything is good,5,positivo
continue watching option ha suddenly disappeared on android what a terrible user experience,1,negativo
amazing movie threling horror movie,5,neutral
bad,1,insatisfecho
excellent,5,contento
im a sailor constantly on the move cant log in to my account cause my device is not part of my household device why doe your software not just leave u alone instead of making matter worse bird brain programmer fiddling with code that wa working fine earlier get out,1,negativo
my netflix app keep going back to update app whenever i update it because of that i cant download anything,2,neutral
best of the best,5,contento
meny problem in netflix and propaly not working and,1,negativo
it pretty easy,5,contento
ive had netflix for over 8 year for the first 4 year the app wa awesome updating every category each month with show movie and original disappointed the last 2 year it seems like netflix ha neglected it customer expectation they gave u in the beginning ive been trying to,3,contento
great but no much video to watch,2,negativo
worst experience ever i used to use netflix before but now with this household stuff i cant sign in until i get an email to authorize my sign in bye bye netflix and hello rarbg,1,negativo
very good,5,positivo
i bought subscription but it show payment pending after 10 day i got subscription on 25225 and it expires on 5325 i purchased 200 monthly plan,1,neutral
dissapointing service asked an employee for help and they said im sorry but it your fault,1,negativo
luv netflix,5,neutral
can someone please tell me why when ive downloaded netflix and wan na sign in it keep on kicking me out im not able to sign in,1,positivo
ok,5,positivo
it did not letting me in the app,1,neutral
huawei ok dlm hri raya,5,positivo
welll i wa made to believe that you and affiliate offered me free movie with this service and down load and oh but were offering this service at a low cost to you b s,1,negativo
i love it,4,contento
good movie but it wont let me download on ipad good movie but wont let me download app on ipad,2,contento
why dont netflix bring new movie there are some movie i want to watch but it not on netflix why i have no issue with the app but some movie are unavailable it making me loose interest,2,negativo
boring app,1,negativo
people need to stop supporting the model of paying for ad then paying more than twice the price to remove them i am being forced to do this guess who is unsubscribing me,2,negativo
netflix offer an extensive library of movie tv show and original the smooth streaming multiple profile and offline downloads make it the best entertainment app,5,contento
when i update it say i still have to update it unusable,1,neutral
tried to create an account but i wasnt working it wa displaying error,1,negativo
absolutely perfect platform to watch web series and others international and domestic movie,5,contento
some movie no have tamil audioand familyscant see some moviesbad,5,negativo
show keep disappearing,1,neutral
i honestly like the company but here recently the mobile app just doesnt work im on a no ad family plan and whenever i choose a profile on mobile only i just cant connect to their network on any other device netflix work fine it only mobile though this ha,1,contento
expensive,1,neutral
meh it gotten super expensive and adding a bunch of random weird stuff all the other streaming service have all season of show while netflix only ha the first few of the last few super annoying also if im not home on home wifi i cant watch netflix on my,1,contento
very bad experience i think it wa free but you are taking 450 r for a month are you gone crazy,1,insatisfecho
it wa a great app for so many year until they stopped letting people share there account and for what to make more money it stupid and not worth it anymore this wa the most used app by most people im sure they were making great money before they put,1,contento
i am giving 5 star because i love all content movie webseries drama but i am very frustrated because of household update it come again and again after 45 day please netflix team do something because of this i cant enjoy it my humble request to fix this,5,negativo
you still get ad even with paid subscription,1,neutral
very nice aap,5,positivo
i used many ott platform i couldnt satisfied with their contentnetflix is outstanding to all other ottno comparison to netflix 1010 total paisa basool thanks,5,contento
good and faster,5,positivo
very bed issue household,1,neutral
very good app,5,positivo
i am not so satisfied after taking the subscription on netflix it is getting problem while browsing on mobile application it getting loading on and so on im not going to take subscription next month you guy are not fixing it why should i suffering such kind of problem it,1,enojado
old but still work,3,neutral
there still missing alot of kdramas for eg season 3 dr romantic is alreadly out but it still missing and many kdramas is still not added a for my favourite genre of kdramas i wish netflix would only focus on collabrations on these actionlaw adventure and crime kdramas these are,2,negativo
cant get my account to register with the tv,1,neutral
nice love it,5,contento
very good,1,positivo
i cant watch my show whenever i watch a download or with wifi it isnt working the screen is just an endless loading screen what give we paid good money for this,1,positivo
best apps,5,contento
it keep glitching,2,neutral
nice,5,positivo
wont load on my phone recently also startimg to get too expensive to keep,1,neutral
been sharing this account for 10 year with my family stop banning me because i dont use the same wifi you greedy turd 89 billion in 2024 wasnt a big enough profit margin,1,positivo
i have had netflix for year but now when i go to the app and click on my profile it only show the main profile preferenceswatches i had to designate the main profile to my 80 yr old father so he could easily find it i created another profile for,3,contento
it a nice app but im just that henry danger dose not have all 6 season,5,insatisfecho
love it,5,contento
stupid apps i pay twice,1,insatisfecho
best app,5,contento
netflix need new material i have enjoyed some good series maybe they were so good nothing compare if thats how it is then we should all drop netflix put some good stuff on here soon,4,contento
good and amazing,5,contento
wow before i had netflix i had d app and the difference is well netflix is so much betterit ha this thing today pick for you omg they get what i want to watch even the movie made for netflix are amazing and everyday something new yes this app cost,5,contento
love it best tv app going besides paramount plus of course,5,contento
easy to use,5,positivo
suddenly stopped working with error that cant be fixed so infuriating device failure occurred please restart your device and try again 5011029,1,enojado
good need to not be like disney with ad latee on tho there are doing hood for now tho,5,positivo
price for way to much plus cant share with grandkids,1,negativo
better,1,positivo
i dont understand what is going on this happened once before very irritating i spend half of every week with my daughter taking care of my grandson so am on her account a a member of the household least 50 of the time i make sure to log into the,2,positivo
why i cant access netflix my due is on march13 pa pomay load namn ako pero bakit d ko na ma i opend na po ako nakapanoodano po ang problema,2,enojado
there seems to be an issue after downloading contenterror 57 when playing downloaded contenti have to redownload the contentplease fix this,4,positivo
i like it but please bring back black butler the anime,3,contento
the best app ever,5,contento
enjoy,3,positivo
with how unstable and unintuitive the app is and how expensive the plan are getting notified a a change in termsupdate rather than a price increase btw youre better off sailing the seven sea for your medium content,1,positivo
household wa the worst addition,1,insatisfecho
the screen brightness is too high i like to watch a i fall asleep the brightness is too bright at it lowest setting i use other apps most of the time,2,contento
where is the camera,5,neutral
good,5,positivo
netflix app ha all the latest feature and just love all the movie thank you netflix for your service,5,contento
i cant sign up and chat with ask for help from live chat it took a long time and nah i give up,1,positivo
this app is always crashing slow to load always freeze,1,positivo
constantly having to change household to use my netflix is dumb a hell,1,enojado
great who is irany,5,contento
after downloading the video it doesnt even play fix the bug,2,negativo
perfect hd love the movie,5,contento
this app allow user to download and watch offline,5,positivo
it an amazing app but doesnt show updated and interesting nigerian movie,3,contento
first time need a semple so i can decide,5,neutral
so far so good,5,contento
you need this,5,neutral
very nice,5,positivo
i cant access my,5,neutral
i love it it should have infinite love keep downloading pls,5,contento
exqusite,5,neutral
third class app,1,neutral
not a good app,1,negativo
the app is a little bit slow but i love the app,1,contento
whenever i try to download it not downloading and it keep lagging all the time it show downloading but cant downloadworst app i have ever invested money on,1,negativo
best,5,contento
third class aap it just fraud i tell all india people dont instal or take a subscription they just deduct your money and after that you cant watch any video i hope every one should delete and ban this india should make own aap dont trust other country,1,enojado
dont care for the new layout of netflix since the update box are too big on my roku 43 smart tv and show less movie and tv show on the screen too wasnt broke why fix it also noticed in the review there are not many update review for 2025,2,positivo
very very nice,5,contento
recharge facility is not good,1,negativo
thus app is just perfect,5,contento
even if i have a hd plan it play only in sd and i have to uninstall the app and reinstall 20 time to make it work in hd quality,1,positivo
netflix good but audio language improve in tamil better,1,contento
netflix is unawesome used to be the best,4,contento
couldnt help being greedy charging more for such small thing and also take off all the good show,1,positivo
by the way it o nice but i am not manageing mine,4,positivo
please dont make the audio description the default please it annoying specially when watching a series and you have to change the audio each episode i know you mean well but if i want a narrator to descride everything id listen to podcast or buy an audiobook thanks,3,contento
like,5,positivo
netflix is recharging my account even after i canceled twice this is fraud,1,insatisfecho
started blocking some context in ad supported plan,2,negativo
best streaming service,5,contento
ive updated this but now it say error in black with my safety check updated this yesterday 5th now add whats going onwho are we paying for,3,neutral
nice app you try it,5,positivo
not good,5,negativo
very nice apps everything that i watched is here,5,positivo
randomly decided my phone wasnt part of the household so now i cant use a service i paid for stupid setup for a stupid app and a waste of my money,1,enojado
app achha he bt update kro to video loding issue dikhata he or phone switch off ya restart kro hi video chalta he nhi to all day netflix ke video sirf loding issue dikhate he,5,neutral
value for money with unbelievable great content on platform with lowest price and no ad and also best personalized content for user,5,contento
i have never used it before i think it okay,5,positivo
great entertainment entertainment not no1 because we are not able to share screen with love one,5,contento
plsss add vatanim sensin iwant to watch it so bad i cant watch on netflix because netflix lack all the movie i want to watch,1,insatisfecho
some other country have better tv show and movie i have been requesting a tv show but it never came,1,positivo
i have been trying for 4 day to use it from my phone but i cant play the video all i can do is watch the loading symbol for infinite time and when i tried to chat and resolve the issue no reply wa give from the customer service agent,1,negativo
what an awful app this become you have to pay then only you can enter into the netflix homepage without we cant even see the movie or series that were released i know that we have to pay to watch but we have to pay for browsing also netflix please,1,neutral
giving this 4star bcuz this app doesnt contains a much anime a i expected i would give a piece of advice to expand the library of animation thats it,4,contento
on the mobile app why the hell is there no continue watching option my progress is constantly reset now on show since this latest update on march 3rd and i cant find the section for continue watching to pick up where i left off on my last show i can,2,insatisfecho
shouldve provided 1080p in basic plan considering the fact netflix is more expensive than all it competitor,2,neutral
yes always have a problem in connecting,3,neutral
interesting,5,positivo
cant uninstall and it spam notification,1,negativo
it good,5,positivo
totally fraud,1,insatisfecho
tha app doesnt work anymore,1,neutral
one of my acct seems broken i cant used it,1,negativo
awesome this apps,5,contento
improve your payment process,1,positivo
like it,1,positivo
continue watching section ha disappeared from the android app disappointed,1,negativo
login problem this is worst app,1,insatisfecho
awesome place for movie,5,contento
i want to log in my account and it doesnt work,1,positivo
can not sign in,5,neutral
yesterday i could download 25 episode of brooklyn 99 today i cant even download 10 im only allowed to download 9 of brooklyn 99 fix this issue please,2,positivo
this great for everyone,5,contento
not working properly keep buffering i dont know why,1,neutral
fine,5,positivo
nic aap,5,neutral
very very fantastic,5,contento
it is amazing,5,contento
to hard,3,negativo
very good aps,5,positivo
this is the best because i can watch movie without going to the cinima,5,contento
nice app,5,positivo
i would have give it a five star but now it getting slow when watching movie and not giving enough good movie to make someone even want to pay for the app,3,insatisfecho
please upgrade this app for 5 device use him same time,5,positivo
very stupid app and call center,1,insatisfecho
not that good,4,negativo
i am not able to see video after app update kindly address this problem a it is waste of my money for subscription to the app please contact me a soon a possible,1,neutral
since last update on my mobile i can nolonger acess my profile it say im logged into my profile it make me enter the profile lock then display another pofiles viewing and not mine disappointing a it work fine on my wife phone,1,contento
i got debited twice still couldnt sign in co it kept taking me back to finishing up even after payment am just so tired,2,insatisfecho
netflix is very great app it paid but we can watch all the movie in a very good quality any time so love this app,5,contento
service not good,1,negativo
